id,name,type,logo,code,flag
122,Denmark,League,https://media.api-sports.io/football/leagues/122.png,DK,https://media.api-sports.io/flags/dk.svg
123,Denmark,League,https://media.api-sports.io/football/leagues/123.png,DK,https://media.api-sports.io/flags/dk.svg
128,Argentina,League,https://media.api-sports.io/football/leagues/128.png,AR,https://media.api-sports.io/flags/ar.svg
183,Scotland,League,https://media.api-sports.io/football/leagues/183.png,GB-SCT,https://media.api-sports.io/flags/gb-sct.svg
184,Scotland,League,https://media.api-sports.io/football/leagues/184.png,GB-SCT,https://media.api-sports.io/flags/gb-sct.svg
6,World,Cup,https://media.api-sports.io/football/leagues/6.png,,
9,World,Cup,https://media.api-sports.io/football/leagues/9.png,,
22,World,Cup,https://media.api-sports.io/football/leagues/22.png,,
23,World,Cup,https://media.api-sports.io/football/leagues/23.png,,
27,World,Cup,https://media.api-sports.io/football/leagues/27.png,,
519,Belgium,Cup,https://media.api-sports.io/football/leagues/519.png,BE,https://media.api-sports.io/flags/be.svg
567,Tanzania,League,https://media.api-sports.io/football/leagues/567.png,TZ,https://media.api-sports.io/flags/tz.svg
255,USA,League,https://media.api-sports.io/football/leagues/255.png,US,https://media.api-sports.io/flags/us.svg
363,Ethiopia,League,https://media.api-sports.io/football/leagues/363.png,ET,https://media.api-sports.io/flags/et.svg
925,Czech-Republic,Cup,https://media.api-sports.io/football/leagues/925.png,CZ,https://media.api-sports.io/flags/cz.svg
569,Kyrgyzstan,League,https://media.api-sports.io/football/leagues/569.png,KG,https://media.api-sports.io/flags/kg.svg
592,Sweden,League,https://media.api-sports.io/football/leagues/592.png,SE,https://media.api-sports.io/flags/se.svg
593,Sweden,League,https://media.api-sports.io/football/leagues/593.png,SE,https://media.api-sports.io/flags/se.svg
594,Sweden,League,https://media.api-sports.io/football/leagues/594.png,SE,https://media.api-sports.io/flags/se.svg
595,Sweden,League,https://media.api-sports.io/football/leagues/595.png,SE,https://media.api-sports.io/flags/se.svg
596,Sweden,League,https://media.api-sports.io/football/leagues/596.png,SE,https://media.api-sports.io/flags/se.svg
597,Sweden,League,https://media.api-sports.io/football/leagues/597.png,SE,https://media.api-sports.io/flags/se.svg
511,Tunisia,Cup,https://media.api-sports.io/football/leagues/511.png,TN,https://media.api-sports.io/flags/tn.svg
141,Spain,League,https://media.api-sports.io/football/leagues/141.png,ES,https://media.api-sports.io/flags/es.svg
136,Italy,League,https://media.api-sports.io/football/leagues/136.png,IT,https://media.api-sports.io/flags/it.svg
103,Norway,League,https://media.api-sports.io/football/leagues/103.png,NO,https://media.api-sports.io/flags/no.svg
89,Netherlands,League,https://media.api-sports.io/football/leagues/89.png,NL,https://media.api-sports.io/flags/nl.svg
95,Portugal,League,https://media.api-sports.io/football/leagues/95.png,PT,https://media.api-sports.io/flags/pt.svg
113,Sweden,League,https://media.api-sports.io/football/leagues/113.png,SE,https://media.api-sports.io/flags/se.svg
162,Costa-Rica,League,https://media.api-sports.io/football/leagues/162.png,CR,https://media.api-sports.io/flags/cr.svg
164,Iceland,League,https://media.api-sports.io/football/leagues/164.png,IS,https://media.api-sports.io/flags/is.svg
169,China,League,https://media.api-sports.io/football/leagues/169.png,CN,https://media.api-sports.io/flags/cn.svg
137,Italy,Cup,https://media.api-sports.io/football/leagues/137.png,IT,https://media.api-sports.io/flags/it.svg
200,Morocco,League,https://media.api-sports.io/football/leagues/200.png,MA,https://media.api-sports.io/flags/ma.svg
207,Switzerland,League,https://media.api-sports.io/football/leagues/207.png,CH,https://media.api-sports.io/flags/ch.svg
210,Croatia,League,https://media.api-sports.io/football/leagues/210.png,HR,https://media.api-sports.io/flags/hr.svg
235,Russia,League,https://media.api-sports.io/football/leagues/235.png,RU,https://media.api-sports.io/flags/ru.svg
239,Colombia,League,https://media.api-sports.io/football/leagues/239.png,CO,https://media.api-sports.io/flags/co.svg
250,Paraguay,League,https://media.api-sports.io/football/leagues/250.png,PY,https://media.api-sports.io/flags/py.svg
73,Brazil,Cup,https://media.api-sports.io/football/leagues/73.png,BR,https://media.api-sports.io/flags/br.svg
90,Netherlands,Cup,https://media.api-sports.io/football/leagues/90.png,NL,https://media.api-sports.io/flags/nl.svg
145,Belgium,League,https://media.api-sports.io/football/leagues/145.png,BE,https://media.api-sports.io/flags/be.svg
173,Bulgaria,League,https://media.api-sports.io/football/leagues/173.png,BG,https://media.api-sports.io/flags/bg.svg
170,China,League,https://media.api-sports.io/football/leagues/170.png,CN,https://media.api-sports.io/flags/cn.svg
189,Australia,League,https://media.api-sports.io/football/leagues/189.png,AU,https://media.api-sports.io/flags/au.svg
240,Colombia,League,https://media.api-sports.io/football/leagues/240.png,CO,https://media.api-sports.io/flags/co.svg
211,Croatia,League,https://media.api-sports.io/football/leagues/211.png,HR,https://media.api-sports.io/flags/hr.svg
138,Italy,League,https://media.api-sports.io/football/leagues/138.png,IT,https://media.api-sports.io/flags/it.svg
146,Belgium,League,https://media.api-sports.io/football/leagues/146.png,BE,https://media.api-sports.io/flags/be.svg
74,Brazil,League,https://media.api-sports.io/football/leagues/74.png,BR,https://media.api-sports.io/flags/br.svg
44,England,League,https://media.api-sports.io/football/leagues/44.png,GB-ENG,https://media.api-sports.io/flags/gb-eng.svg
82,Germany,League,https://media.api-sports.io/football/leagues/82.png,DE,https://media.api-sports.io/flags/de.svg
139,Italy,League,https://media.api-sports.io/football/leagues/139.png,IT,https://media.api-sports.io/flags/it.svg
91,Netherlands,League,https://media.api-sports.io/football/leagues/91.png,NL,https://media.api-sports.io/flags/nl.svg
142,Spain,League,https://media.api-sports.io/football/leagues/142.png,ES,https://media.api-sports.io/flags/es.svg
130,Argentina,Cup,https://media.api-sports.io/football/leagues/130.png,AR,https://media.api-sports.io/flags/ar.svg
190,Australia,League,https://media.api-sports.io/football/leagues/190.png,AU,https://media.api-sports.io/flags/au.svg
236,Russia,League,https://media.api-sports.io/football/leagues/236.png,RU,https://media.api-sports.io/flags/ru.svg
165,Iceland,League,https://media.api-sports.io/football/leagues/165.png,IS,https://media.api-sports.io/flags/is.svg
251,Paraguay,League,https://media.api-sports.io/football/leagues/251.png,PY,https://media.api-sports.io/flags/py.svg
104,Norway,League,https://media.api-sports.io/football/leagues/104.png,NO,https://media.api-sports.io/flags/no.svg
114,Sweden,League,https://media.api-sports.io/football/leagues/114.png,SE,https://media.api-sports.io/flags/se.svg
208,Switzerland,League,https://media.api-sports.io/football/leagues/208.png,CH,https://media.api-sports.io/flags/ch.svg
262,Mexico,League,https://media.api-sports.io/football/leagues/262.png,MX,https://media.api-sports.io/flags/mx.svg
263,Mexico,League,https://media.api-sports.io/football/leagues/263.png,MX,https://media.api-sports.io/flags/mx.svg
259,Canada,Cup,https://media.api-sports.io/football/leagues/259.png,CA,https://media.api-sports.io/flags/ca.svg
278,Malaysia,League,https://media.api-sports.io/football/leagues/278.png,MY,https://media.api-sports.io/flags/my.svg
